"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Albion","2,337","1","0","0","0","1","0","0","0","0","0"
"Alexandria","5,811","5","0","2","1","2","263","72","183","8","4"
"Anderson","57,020","170","1","34","64","71","3,085","722","2,148","215","23"
"Angola","7,936","7","0","2","0","5","447","29","404","14","2"
"Auburn","13,128","18","0","5","5","8","352","54","290","8","0"
"Austin","4,587","72","1","0","5","66","188","51","118","19","0"
"Avon","12,722","37","1","1","6","29","509","51","443","15","1"
"Bargersville","2,770","4","0","0","0","4","2","2","0","0","0"
"Batesville","6,477","40","2","1","2","35","122","20","102","0","0"
"Bedford","13,458","27","2","4","6","15","474","46","405","23","0"
"Beech Grove","14,257","42","1","4","24","13","492","98","359","35","0"
"Berne","4,389","1","0","1","0","0","61","11","45","5","0"
"Bloomington","71,845","366","3","44","74","245","3,215","883","2,185","147","23"
"Bluffton","9,293","3","0","1","1","1","239","39","196","4","0"
"Boonville","6,736","2","0","0","0","2","179","6","159","14","0"
"Brazil","8,296","10","0","0","1","9","174","30","141","3","0"
"Bremen","4,660","0","0","0","0","0","64","12","48","4","0"
"Brownsburg","20,651","29","0","1","3","25","258","51","195","12","1"
"Burns Harbor","1,148","0","0","0","0","0","29","5","19","5","0"
"Carmel","68,424","22","0","2","5","15","897","165","701","31","2"
"Cedar Lake","11,188","5","0","3","0","2","427","71","341","15","3"
"Charlestown","7,359","2","0","0","0","2","274","81","190","3","0"
"Chesterfield","2,733","8","0","0","0","8","62","12","47","3","0"
"Chesterton","12,968","9","0","0","1","8","235","45","184","6","0"
"Clarks Hill","689","1","0","0","0","1","2","0","2","0","0"
"Clarksville","21,921","90","0","11","21","58","1,638","238","1,291","109","3"
"Clinton","4,766","9","0","0","0","9","66","10","54","2","2"
"Columbia City","8,386","7","0","2","2","3","150","22","120","8","0"
"Columbus","40,087","53","0","4","24","25","2,184","244","1,768","172","11"
"Corydon","2,787","3","0","0","1","2","47","16","28","3","0"
"Crawfordsville","15,036","30","1","7","3","19","703","193","490","20","1"
"Crown Point","24,942","14","1","2","5","6","508","54","415","39","1"
"Culver","1,502","10","0","0","0","10","57","10","41","6","0"
"Danville","8,319","6","0","4","0","2","118","15","96","7","0"
"Decatur","9,576","7","1","0","0","6","68","8","52","8","4"
"Delphi","2,844","3","0","2","0","1","116","13","96","7","0"
"Dyer","16,148","12","0","0","8","4","329","29","266","34","0"
"East Chicago","29,728","249","12","14","141","82","1,830","430","1,189","211","10"
"Elkhart","52,661","159","8","22","118","11","2,534","639","1,730","165","22"
"Ellettsville","6,107","44","0","1","4","39","157","42","109","6","0"
"Elwood","8,956","8","0","0","8","0","644","182","442","20","2"
"Evansville","115,770","432","3","60","136","233","5,376","1,110","4,038","228","69"
"Fairmount","2,701","4","0","0","3","1","48","6","42","0","3"
"Fishers","73,538","14","0","0","13","1","701","85","592","24","1"
"Fort Wayne","251,584","876","18","75","485","298","9,379","2,269","6,683","427","45"
"Fowler","2,177","1","0","0","0","1","7","0","5","2","0"
"Franklin","23,704","80","0","7","8","65","823","85","728","10","1"
"Gary","95,219","661","49","47","289","276","3,408","1,493","1,069","846","69"
"Gas City","5,658","7","0","0","0","7","140","15","118","7","0"
"Goshen","32,952","36","0","13","14","9","1,032","186","803","43","8"
"Greendale","4,372","5","0","1","1","3","26","14","12","0","0"
"Greenfield","19,262","17","0","5","3","9","398","42","330","26","5"
"Greenwood","49,136","189","0","2","15","172","1,896","154","1,672","70","8"
"Griffith","16,205","34","3","2","17","12","581","70","454","57","2"
"Hagerstown","1,613","3","0","1","2","0","40","15","25","0","0"
"Hammond","76,085","741","11","30","233","467","3,754","938","2,314","502","36"
"Hartford City","6,239","11","0","3","2","6","184","33","147","4","0"
"Hebron","3,707","1","0","0","0","1","9","3","3","3","0"
"Highland","22,544","33","1","3","17","12","893","101","737","55","2"
"Hobart","28,173","53","1","3","19","30","1,375","162","1,126","87","9"
"Huntingburg","6,147","0","0","0","0","0","126","33","87","6","0"
"Huntington","16,424","25","0","7","4","14","362","77","274","11","1"
"Indianapolis","813,471","9,760","100","460","3,929","5,271","47,419","15,217","27,717","4,485","346"
"Jasper","14,224","4","0","1","0","3","168","38","123","7","0"
"Kokomo","45,562","139","1","19","41","78","2,500","482","1,955","63","2"
"Lafayette","64,370","341","0","24","66","251","3,121","645","2,285","191","10"
"La Porte","21,128","46","0","7","15","24","1,232","197","990","45","7"
"Ligonier","4,551","0","0","0","0","0","34","6","22","6","0"
"Logansport","18,551","15","0","4","3","8","701","89","579","33","2"
"Long Beach","1,546","0","0","0","0","0","3","3","0","0","0"
"Loogootee","2,568","1","0","0","1","0","20","8","10","2","0"
"Lowell","8,504","18","1","0","2","15","159","19","136","4","0"
"Marion","29,987","85","0","19","52","14","1,549","252","1,163","134","15"
"Martinsville","11,812","24","0","6","6","12","859","74","752","33","1"
"Merrillville","33,349","44","0","3","28","13","909","146","664","99","3"
"Michigan City","32,355","121","0","13","61","47","1,740","371","1,259","110","6"
"Mishawaka","50,378","182","1","15","72","94","3,275","459","2,629","187","16"
"Monticello","5,249","3","0","0","2","1","183","24","148","11","2"
"Mooresville","12,037","16","0","2","2","12","349","23","305","21","0"
"Muncie","64,639","387","6","44","123","214","2,535","606","1,804","125","36"
"Munster","22,173","15","0","1","12","2","692","62","593","37","1"
"Nappanee","7,196","3","0","0","0","3","114","10","102","2","1"
"New Albany","37,237","123","1","8","49","65","2,159","421","1,616","122","24"
"New Castle","18,236","8","0","2","3","3","1,130","216","881","33","3"
"New Haven","13,729","23","0","2","11","10","367","57","280","30","0"
"New Whiteland","5,961","22","0","0","1","21","118","10","104","4","0"
"Noblesville","43,820","49","0","14","14","21","1,006","113","849","44","3"
"North Liberty","1,397","2","0","0","0","2","20","4","16","0","0"
"North Manchester","5,784","14","0","6","1","7","127","26","98","3","0"
"North Vernon","6,269","14","0","8","1","5","245","31","209","5","0"
"Oakland City","2,505","5","0","0","1","4","60","16","42","2","0"
"Peru","12,225","25","0","1","4","20","189","48","128","13","5"
"Plainfield","28,811","38","0","8","3","27","805","95","658","52","0"
"Plymouth","11,170","15","0","2","6","7","481","35","424","22","1"
"Portage","37,373","182","1","10","10","161","1,304","222","1,028","54","5"
"Portland","6,131","3","0","1","2","0","263","21","241","1","1"
"Rensselaer","6,285","27","0","3","2","22","246","27","212","7","0"
"Richmond","36,479","142","0","8","45","89","1,669","462","1,068","139","28"
"Rushville","6,011","13","0","0","2","11","272","61","208","3","0"
"Salem","6,538","8","0","0","2","6","3","3","0","0","0"
"Schererville","29,361","21","0","1","13","7","797","82","655","60","0"
"Scottsburg","5,896","47","0","2","7","38","365","54","304","7","0"
"Seymour","19,342","91","0","5","8","78","1,036","184","807","45","5"
"Shelbyville1","18,568","6","0","0","0","6","","","931","","0"
"South Bend","103,326","769","14","56","346","353","6,113","2,086","3,702","325","43"
"South Whitley","1,852","1","0","0","0","1","9","2","7","0","0"
"Speedway","12,567","29","0","0","25","4","494","74","371","49","3"
"St. John","13,616","2","0","1","1","0","153","16","125","12","0"
"Tell City","7,493","6","0","4","0","2","163","29","128","6","1"
"Terre Haute","60,065","135","1","26","57","51","4,187","1,114","2,722","351","43"
"Tipton","4,968","1","0","1","0","0","209","34","169","6","0"
"Valparaiso","30,680","98","1","3","7","87","753","121","595","37","3"
"Vincennes","17,902","25","0","3","11","11","1,267","296","916","55","1"
"Wabash","10,718","9","0","0","7","2","179","50","124","5","1"
"Walkerton","2,164","4","0","0","0","4","75","24","46","5","1"
"Warsaw","13,733","16","0","7","9","0","639","58","557","24","11"
"Washington","11,400","17","0","8","2","7","663","125","505","33","0"
"Waterloo","2,160","11","0","0","1","10","55","18","36","1","0"
"Westfield","21,946","26","0","2","7","17","505","56","428","21","4"
"West Lafayette","31,092","63","0","7","11","45","498","80","397","21","5"
"Westville","5,179","4","0","1","0","3","62","16","40","6","0"
"Whitestown","709","2","1","0","0","1","54","11","39","4","0"
"Whiting","4,712","6","1","0","4","1","218","21","176","21","1"
"Winchester","4,562","13","0","0","0","13","320","60","255","5","0"
"Winona Lake","4,327","8","0","0","0","8","43","1","41","1","1"
"Zionsville","14,065","14","0","0","3","11","130","22","102","6","2"
