"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Rape(reviseddefinition)1","Rape(legacydefinition)2","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alderson","1,179","0","0","0","","0","0","0","0","0","0","0"
"Barboursville","4,119","2","0","0","","0","2","380","9","369","2","0"
"Beckley","17,595","186","0","19","","37","130","1,268","280","947","41","4"
"Beech Bottom","512","0","0","0","","0","0","2","0","2","0","0"
"Benwood","1,375","1","0","0","","0","1","5","3","2","0","0"
"Bethlehem","2,448","3","0","0","","1","2","13","2","11","0","0"
"Bluefield","10,476","75","2","5","","6","62","219","50","151","18","2"
"Bridgeport","8,431","13","0","2","","1","10","267","16","246","5","0"
"Buckhannon","5,695","4","0","0","","1","3","167","22","145","0","0"
"Chapmanville","1,262","3","0","0","","0","3","52","4","45","3","0"
"Charleston","50,693","622","9","48","","119","446","3,326","688","2,497","141","25"
"Chester","2,542","2","0","1","","1","0","16","5","11","0","0"
"Dunbar","7,821","13","0","2","","4","7","188","53","130","5","2"
"Eleanor","1,578","0","0","0","","0","0","1","1","0","0","0"
"Fairmont","18,835","31","0","7","","9","15","271","99","161","11","5"
"Glasgow","891","0","0","0","","0","0","25","6","17","2","0"
"Glen Dale","1,484","2","0","0","","0","2","13","2","9","2","0"
"Glenville","1,548","2","0","0","","0","2","5","2","3","0","0"
"Grafton","5,189","1","1","0","","0","0","8","1","7","0","0"
"Granville","2,508","15","0","0","","0","15","144","9","131","4","0"
"Hamlin","1,133","7","0","0","","2","5","11","5","6","0","0"
"Harrisville","1,786","0","0","0","","0","0","5","1","4","0","0"
"Kenova","3,103","6","0","2","","1","3","112","8","100","4","0"
"Kingwood","2,969","1","0","0","","0","1","0","0","0","0","0"
"Lewisburg","3,985","11","0","2","","0","9","74","2","71","1","0"
"Marmet","1,475","0","0","0","","0","0","26","9","13","4","0"
"Mason","950","1","0","0","","0","1","17","4","13","0","0"
"Matoaka","221","0","0","0","","0","0","0","0","0","0","0"
"Milton","2,542","3","0","1","","0","2","73","10","57","6","1"
"Moorefield","2,500","21","0","0","","0","21","35","1","32","2","0"
"Morgantown","31,103","81","2","11","","25","43","794","161","608","25","4"
"Mount Hope","1,385","4","0","0","","1","3","15","6","9","0","0"
"Nitro","7,139","10","0","2","","3","5","305","57","241","7","0"
"Oak Hill","8,261","18","1","3","","7","7","273","46","214","13","1"
"Oceana","1,341","56","0","0","","1","55","119","22","95","2","0"
"Parkersburg3","31,139","88","1","14","","6","67","","259","","53","13"
"Parsons","1,421","0","0","0","","0","0","0","0","0","0","0"
"Point Pleasant","4,306","9","0","0","","5","4","119","23","93","3","0"
"Princeton","6,442","49","2","2","","4","41","225","60","159","6","4"
"Reedsville","605","0","0","0","","0","0","3","0","3","0","0"
"Ripley","3,256","0","0","0","","0","0","12","0","12","0","0"
"Romney","1,784","0","0","0","","0","0","3","3","0","0","0"
"Ronceverte","1,766","6","0","1","","0","5","32","3","29","0","0"
"Sistersville","1,351","0","0","0","","0","0","7","2","5","0","0"
"South Charleston","13,435","113","0","4","","12","97","842","106","709","27","5"
"St. Albans","10,928","46","2","6","","8","30","435","55","360","20","3"
"Summersville","3,532","16","0","0","","0","16","149","2","145","2","0"
"Vienna","10,603","4","0","0","","0","4","207","25","181","1","1"
"Weirton","19,476","18","0","1","","7","10","279","49","219","11","0"
"Wellsburg","2,743","1","0","0","","0","1","22","9","11","2","0"
"West Liberty","1,741","0","0","0","","0","0","0","0","0","0","0"
"Weston","4,106","0","0","0","","0","0","4","0","4","0","0"
"West Union","836","0","0","0","","0","0","0","0","0","0","0"
"Wheeling","27,890","217","0","12","","16","189","705","165","501","39","4"
"White Hall","666","0","0","0","","0","0","7","0","6","1","0"
"White Sulphur Springs","2,469","9","0","1","","0","8","3","1","2","0","0"
"Williamson","3,066","15","0","3","","0","12","46","10","36","0","1"
"Williamstown","2,935","3","0","1","","0","2","13","2","10","1","0"
"Winfield","2,331","1","0","0","","0","1","26","1","23","2","0"
